parking_id,month,MAPE_seguro_%,MAPE_seguro_CI95_low,MAPE_seguro_CI95_high,média<5%,IC<5%,dias
653,2024-01,58.533941876242054,46.90460032582763,68.92276651067797,False,False,31
653,2024-02,81.16503225892438,30.428218372358405,148.62519873879404,False,False,29
653,2024-03,48.99524620895143,35.578335362993585,64.22476163108347,False,False,31
653,2024-04,53.16129475674832,43.43530802163192,63.027974687295924,False,False,30
653,2024-05,29.58657805634237,15.004995632862524,48.16230628029505,False,False,31
653,2024-06,32.3074593998931,19.432420363739688,51.085186952777285,False,False,30
653,2024-07,40.78755115531217,29.680424843123987,53.676747066276164,False,False,31
653,2024-08,21.4722693031154,12.36128087426743,33.41853540010078,False,False,31
653,2024-09,29.15677705393472,20.97261956438726,37.09956414207012,False,False,30
653,2024-10,16.605065229953947,11.56564389752578,22.038849805461645,False,False,31
653,2024-11,17.94136503249917,12.887309792287793,22.76272076146679,False,False,30
653,2024-12,25.49960295326819,14.54288792537808,38.09067508990554,False,False,31
700,2024-01,14.28664578491658,10.19498513347667,18.613044125418615,False,False,31
700,2024-02,16.355932579023257,12.90035310949514,20.211190663938947,False,False,29
700,2024-03,18.244909804147916,13.363163145638762,23.347135223356787,False,False,31
700,2024-04,25.472251567355578,19.7760245310861,31.391254205843705,False,False,30
700,2024-05,11.391573304134285,7.4696829754020735,15.683646329153595,False,False,31
700,2024-06,27.23984512390075,18.83749970689427,36.404149600378965,False,False,30
700,2024-07,16.95125181370681,13.209479774019863,20.699945772543558,False,False,31
700,2024-08,10.284541851283128,6.962457826921382,13.652340909718502,False,False,31
700,2024-09,16.488882077530217,9.533769329414802,23.95016178538441,False,False,30
700,2024-10,36.84640857272621,19.231698043880613,58.83902611113669,False,False,31
700,2024-11,31.69781851736856,20.68432457847904,41.84382897778417,False,False,30
700,2024-12,13.69278071378617,7.189159632127211,20.63389234309244,False,False,31
765,2024-01,43.66183816694005,34.74508585358964,51.98228372378338,False,False,31
765,2024-02,143.38911680734674,48.157722149081046,316.23427262204024,False,False,29
765,2024-03,44.70153344622337,29.99747472222864,65.80232528482829,False,False,31
765,2024-04,33.27896765921833,26.13231455178839,40.258372814678175,False,False,30
765,2024-05,77.98853683900445,24.71581948824577,168.93884353329804,False,False,31
765,2024-06,17.48597851913481,10.665898300915051,25.63124651388504,False,False,30
765,2024-07,18.956334195050268,10.95387143341869,29.4360800254558,False,False,31
765,2024-08,19.28257871276675,12.464546978968317,27.613596418358135,False,False,31
765,2024-09,24.667881146532654,11.708245304783558,45.945810934107904,False,False,30
765,2024-10,18.230519924676994,9.142301562334433,31.66273497255573,False,False,31
765,2024-11,69.69744128505528,15.556720022974591,146.8762501930827,False,False,30
765,2024-12,27.34180354986198,14.715159290891783,43.7588883509819,False,False,31
