month,receita_prevista,receita_real,MAPE_seguro_%,MAPE_CI95_low,MAPE_CI95_high
2024-01,274656.1115560894,333526.0,38.82747527603289,32.80005941873163,45.07724353867002
2024-02,416043.42732587276,345199.0,80.30336054843147,38.699212938418384,142.7788239712617
2024-03,293263.3056690944,300600.0,37.3138964864409,29.436007315467247,46.47469338856658
2024-04,193313.38318875656,290366.5,37.30417132777408,32.238555463118644,42.14873176225835
2024-05,272170.66846696386,275957.5,39.655562733160366,19.36045201252476,75.23082495862316
2024-06,282109.82481107354,295887.5,25.677761014309553,19.659189792557658,32.89233064300068
2024-07,256797.09818556122,293430.0,25.565045721356416,20.17885417594567,31.587757251301333
2024-08,261617.86775408732,262292.5,17.01312995572176,12.523261302189669,22.383843816028218
2024-09,225199.18203930982,240251.0,23.43784675933253,17.28242697572131,31.40794114075155
2024-10,284298.8405479347,269192.0,23.893997909119054,16.56634535024525,33.28631284501613
2024-11,167225.00219671105,241880.0,39.77887494497434,20.920960911597007,66.86222097563447
2024-12,232562.39590380917,221740.0,22.178062405638784,15.847717841837767,29.610208659508515
